Oni
LEVEL:7
BALLOON:15,5
SCOREINIT:310
SCOREDIFF:80

#START
1001001010010010,
1001001020002000,
1001001010010010,
2212,
2020111020201110,
2020111010111010,
2020111020201110,
1020202022202020,
2020111020201110,
2020111010111010,
1022201110202222,
2022202020001010,
2020111020201110,
2020111010111010,
2020111020201110,
1020202022202020,
2020111020201110,
2020111010111010,
1110222010102020,
100000000100000000100000500000000008000000000000,
1000200212102020,
10201120,
1000200212102020,
1000200011102000,
1000200212102020,
10201120,
1000200212102000,
3344,
2211,
1011201010000000,
1122,
2022101010112000,
2211,
1011201010001010,
11011010,
30330000,//36

#GOGOSTART
2011201020112010,
2220101020001010,
1022102010221020,
1011201020001010,
2011201020112010,
2220101020001010,
4444,
33333011,
2011201020112010,
2220101020001010,
1022102010221020,
1011201020001010,
2011201020112010,
2220101020001010,
4444,
300000300000400000400000600000000000000008000000,//52

#GOGOEND
30003003,
30003003,
30033012,
1010201011221022,
1011011010110110,
2022022020220220,
1011011020220220,
1011011020220220,
2011201020102210,
2011201020102210,
2011202220102010,
7008,
1110222011102220,
100100100000100000200000500000000000000008000000,
1110112011101120,
100100100000200000200000500000000000000008000000,
1020112010201120,
100000200000100100200000500000000000000008000000,
1020112022101120,
200000000200000000200000500000000000000008000000,
2211,
1011201010000000,
1122,
2022101010112000,
2211,
1011201010001010,
11011010,
30330000,
2,
,
2,
,
2,
2,
2222,
34343011,//88

#GOGOSTART
2011201020112010,
2220101020001010,
1022102010221020,
1011201020001010,
2011201020112010,
2220101020001010,
2011201120112000,
33447008,//96

#GOGOEND
2020111020201110,
2020111010111010,
2020111020201110,
1020202022202020,
2020111020201110,
2020111010111010,
1022201110202222,
2022202020001010,
2020111020201110,
2020111010111010,
2020111020201110,
1020202022202020,
2020111020201110,
2020111010111010,
1110222010102020,
1001001010001000,
4004003030000000,
,
,
,
#END
